,,,,,,,
FantasyPros.com , ,,,,,,
Week 2 - WR Rankings , ,,,,,,
Expert Consensus Rankings (ECR) , ,,,,,,
,,,,,,,
 Rank , Player Name ,Team , Matchup ,Best Rank , Worst Rank , Avg Rank , Std Dev 
81,Jerricho Cotchery,CAR,  vs.  DET,67,101,77.2,9.0531762382
82,Cody Latimer,DEN,  vs.  KC,67,90,80.2857142857,7.7958649427
83,Brandon LaFell,NE,  at  MIN,68,114,86,12.0933866224
84,Andre Caldwell,DEN,  vs.  KC,68,89,79.5,5.1816985632
85,Jacoby Jones,SD,  vs.  SEA,69,92,81.8,7.4939975981
86,Denarius Moore,CIN,  vs.  ATL,69,88,77.8,7.0823724839
87,Mike Williams,FA,,70,86,78.7777777778,5.5733049795
88,Andre Roberts,WAS,  vs.  JAC,71,93,84.4,7.310266753
89,Andre Holmes,OAK,  vs.  HOU,72,105,85.25,9.0519334951
90,Donnie Avery,FA,,72,89,81.5,6.6895440801
91,Devin Hester,ATL,  at  CIN,74,100,88.6,8.3330666624
92,Santonio Holmes,FA,,78,97,85.1666666667,5.9278064146
93,Jermaine Kearse,SEA,  at  SD,78,90,85.6666666667,5.4365021434
94,Cole Beasley,DAL,  at  TEN,81,94,87.5,6.5
95,Jason Avant,KC,  at  DEN,84,99,91.5,7.5
96,Travis Benjamin,CLE,  vs.  NO,85,95,90,5
97,Jerrel Jernigan,FA,,86,97,91.5,5.5
98,Chris Givens,STL,  at  TB,91,113,102,11
99,Jarvis Landry,MIA,  at  BUF,92,112,102,10
100,Allen Robinson,JAC,  at  WAS,94,120,107,13
101,Donte Moncrief,IND,  vs.  PHI,96,121,108.5,12.5
102,Marlon Brown,BAL,  vs.  PIT,98,110,104,6
103,Ted Ginn,CAR,  vs.  DET,100,102,101,1
104,Ryan Broyles,DET,  at  CAR,102,148,125,23
105,Davante Adams,GB,  vs.  NYJ,103,108,105.5,2.5
106,Griff Whalen,IND,  vs.  PHI,104,153,128.5,24.5
