R.Wilson,SEA,QB
J.Kearse,SEA,WR
A.Rodgers,GB,QB
M.Ryan,ATL,QB
D.Brees,NO,QB
J.Flacco,BAL,QB
A.Dalton,CIN,QB
M.Sanu,CIN,WR
J.Cutler,CHI,QB
E.Manuel,BUF,QB
F.Jackson,BUF,RB
R.Fitzpatrick,HOU,QB
A.Foster,HOU,RB
S.Lechler,HOU,P
R.Griffin,WAS,QB
P.Garcon,WAS,
A.Smith,KC,QB
D.Colquitt,KC,P
J.Locker,TEN,
R.Tannehill,MIA,QB
M.Wallace,MIA,WR
T.Brady,NE,QB
G.Smith,NYJ,QB
M.Vick,NYJ,
J.Kerley,NYJ,WR
R.Quigley,NYJ,P
D.Carr,OAK,QB
D.McFadden,OAK,RB
N.Foles,PHI,QB
C.Henne,JAC,QB
D.Robinson,JAC,RB
B.Anger,JAC,P
R.Golden,PIT,SAF
B.Roethlisberger,PIT,QB
A.Brown,PIT,WR
B.Wing,PIT,P
B.Hoyer,CLE,QB
S.Hill,STL,QB
A.Davis,STL,QB
J.Hekker,STL,P
M.Cassel,MIN,QB
T.Romo,DAL,QB
C.Kaepernick,SF,QB
A.Boldin,SF,WR
A.Lee,SF,P
J.McCown,TB,QB
B.Rainey,TB,RB
D.Anderson,CAR,QB
P.Manning,DEN,QB
A.Luck,IND,QB
P.McAfee,IND,P
M.Stafford,DET,QB
S.Martin,DET,P
E.Manning,NYG,QB
C.Palmer,ARI,QB
T.Ginn,ARI,WR
P.Rivers,SD,QB
E.Weddle,SD,FS
C.Newton,CAR,QB
J.Manziel,CLE,QB
D.Stanton,ARI,QB
K.Cousins,WAS,QB
R.Mallett,HOU,QB
T.Yates,ATL,
M.Glennon,TB,QB
J.Campbell,CIN,
B.Bortles,JAC,QB
C.Shorts,JAC,WR
M.Hasselbeck,IND,
T.Bridgewater,MIN,QB
J.Clausen,CHI,QB
C.Whitehurst,TEN,QB
Z.Mettenberger,TEN,QB
C.Ponder,MIN,QB
M.McGloin,OAK,QB
M.Moore,MIA,QB
J.Garoppolo,NE,QB
M.Flynn,GB,
K.Orton,BUF,
O.Beckham,NYG,WR
L.Thomas,ARI,QB
R.Nassib,NYG,QB
C.McCoy,WAS,QB
B.Osweiler,DEN,QB
B.Gabbert,SF,QB
M.Schaub,OAK,QB
B.Weeden,DAL,QB
M.Grice,ARI,RB
M.Sanchez,PHI,QB
M.Simms,NYJ,QB
K.Clemens,SD,QB
M.Barkley,PHI,QB
J.Gordon,CLE,WR
T.Savage,HOU,QB
R.Lindley,ARI,
C.Daniel,KC,QB
C.Keenum,HOU,QB
T.Jackson,SEA,
C.Shaw,CLE,QB
J.Palmer,TEN,
R.Wilson,SEA,QB
M.Lynch,SEA,RB
R.Turbin,SEA,RB
P.Harvin,SEA,WR
D.Baldwin,SEA,WR
J.Kearse,SEA,WR
R.Lockette,SEA,WR
J.Ryan,SEA,P
A.Rodgers,GB,QB
D.Harris,GB,RB
E.Lacy,GB,RB
J.Kuhn,GB,FB
J.Starks,GB,RB
R.Cobb,GB,WR
M.Ryan,ATL,QB
D.Freeman,ATL,RB
A.Smith,ATL,RB
J.Rodgers,ATL,RB
S.Jackson,ATL,
JulioJones,ATL,WR
D.Hester,ATL,WR
D.Brees,NO,QB
B.Cooks,NO,WR
K.Robinson,NO,RB
M.Ingram,NO,RB
P.Thomas,NO,
T.Cadet,NO,RB
J.Flacco,BAL,QB
B.Pierce,BAL,RB
J.Forsett,BAL,RB
J.Jones,BAL,WR
A.Dalton,CIN,QB
M.Sanu,CIN,WR
G.Bernard,CIN,RB
A.Green,CIN,WR
J.Hill,CIN,RB
B.Tate,CIN,WR
J.Cutler,CHI,QB
M.Forte,CHI,RB
K.Carey,CHI,RB
A.Jeffery,CHI,WR
J.Morgan,CHI,WR
P.O'Donnell,CHI,P
D.McCray,CHI,DB
E.Manuel,BUF,QB
C.Spiller,BUF,RB
F.Jackson,BUF,RB
A.Dixon,BUF,RB
F.Summers,BUF,
S.Watkins,BUF,WR
R.Fitzpatrick,HOU,QB
A.Blue,HOU,RB
A.Foster,HOU,RB
J.Grimes,HOU,RB
D.Johnson,HOU,WR
R.Griffin,WAS,QB
R.Helu,WAS,RB
D.Young,WAS,FB
A.Morris,WAS,RB
D.Jackson,WAS,WR
A.Roberts,WAS,WR
T.Way,WAS,P
A.Smith,KC,QB
C.Gray,KC,RB
K.Davis,KC,RB
A.Sherman,KC,FB
J.Charles,KC,RB
J.Locker,TEN,
B.Sankey,TEN,RB
S.Greene,TEN,RB
D.McCluster,TEN,RB
L.Washington,TEN,
K.Wright,TEN,WR
R.Tannehill,MIA,QB
K.Moreno,MIA,
L.Miller,MIA,RB
M.Wallace,MIA,WR
J.Landry,MIA,WR
D.Williams,MIA,RB
T.Brady,NE,QB
S.Vereen,NE,RB
S.Ridley,NE,RB
B.Bolden,NE,RB
J.Edelman,NE,WR
K.Thompkins,NE,WR
T.Wright,NE,TE
G.Smith,NYJ,QB
M.Vick,NYJ,
B.Powell,NYJ,RB
C.Johnson,NYJ,
C.Ivory,NYJ,RB
J.Kerley,NYJ,WR
G.Salas,NYJ,WR
D.Carr,OAK,QB
D.McFadden,OAK,RB
M.Reece,OAK,FB
M.Jones-Drew,OAK,
D.Moore,OAK,WR
L.Murray,OAK,RB
N.Foles,PHI,QB
D.Sproles,PHI,RB
L.McCoy,PHI,RB
C.Henne,JAC,QB
D.Robinson,JAC,RB
T.Gerhart,JAC,RB
J.Todman,JAC,RB
M.Lee,JAC,WR
B.Roethlisberger,PIT,QB
D.Archer,PIT,RB
L.Blount,PIT,RB
L.Bell,PIT,RB
M.Wheaton,PIT,WR
A.Brown,PIT,WR
B.Wing,PIT,P
B.Hoyer,CLE,QB
T.West,CLE,RB
T.Benjamin,CLE,WR
R.Agnew,CLE,RB
B.Tate,CLE,
I.Crowell,CLE,RB
A.Hawkins,CLE,WR
T.Gabriel,CLE,WR
S.Hill,STL,QB
A.Davis,STL,QB
C.Givens,STL,WR
T.Austin,STL,WR
B.Cunningham,STL,RB
Z.Stacy,STL,RB
J.Cook,STL,TE
M.Cassel,MIN,QB
A.Peterson,MIN,RB
M.Asiata,MIN,RB
C.Patterson,MIN,WR
J.McKinnon,MIN,RB
J.Wright,MIN,WR
T.Romo,DAL,QB
D.Harris,DAL,WR
D.Murray,DAL,RB
L.Dunbar,DAL,RB
C.Kaepernick,SF,QB
L.James,SF,RB
F.Gore,SF,RB
C.Hyde,SF,RB
A.Boldin,SF,WR
V.Davis,SF,TE
M.Crabtree,SF,WR
B.Ellington,SF,WR
J.McCown,TB,QB
J.Lane,TB,FB
D.Martin,TB,RB
B.Rainey,TB,RB
C.Owusu,TB,WR
S.Patton,TB,WR
D.Anderson,CAR,QB
J.Stewart,CAR,RB
M.Tolbert,CAR,FB
D.Williams,CAR,RB
J.Avant,CAR,WR
Philly,CAR,WR
P.Manning,DEN,QB
E.Sanders,DEN,WR
M.Ball,DEN,RB
C.Anderson,DEN,RB
V.Green,DEN,TE
A.Luck,IND,QB
A.Bradshaw,IND,
T.Richardson,IND,RB
T.Hilton,IND,WR
D.Moncrief,IND,WR
M.Stafford,DET,QB
G.Tate,DET,WR
T.Riddick,DET,RB
R.Bush,DET,RB
J.Bell,DET,RB
J.Ross,DET,WR
E.Manning,NYG,QB
J.Jernigan,NYG,
R.Jennings,NYG,RB
A.Williams,NYG,RB
S.Weatherford,NYG,P
C.Palmer,ARI,QB
J.Dwyer,ARI,
A.Ellington,ARI,RB
S.Taylor,ARI,RB
M.Floyd,ARI,WR
R.Hughes,ARI,RB
