R.Griffin,HOU,TE,1,0,0,0,0,0,0,0,0,1,0,0,6
R.Griffin,WAS,QB,1,3,0,2,1,37,0,0,267,0,0,0,0
R.Helu,WAS,RB,1,4,0,46,0,0,0,0,0,2,0,0,15
A.Morris,WAS,RB,1,14,0,91,0,0,0,0,0,0,0,0,0
D.Jackson,WAS,WR,1,1,0,-9,0,0,0,0,0,8,0,0,62
N.Paul,WAS,TE,1,0,0,0,1,0,0,0,0,4,0,0,86
J.Reed,WAS,TE,1,0,0,0,0,0,0,0,0,1,0,0,4
L.Paulsen,WAS,TE,1,0,0,0,0,0,0,0,0,2,0,0,0
A.Roberts,WAS,WR,1,0,0,0,0,0,0,0,0,1,0,0,22
A.Smith,KC,QB,1,6,0,36,0,35,0,1,202,0,0,0,0
C.Gray,KC,RB,1,2,0,5,0,0,0,0,0,0,0,0,0
K.Davis,KC,RB,1,1,0,3,0,0,0,0,0,1,0,0,3
J.Charles,KC,RB,1,7,0,19,0,0,0,0,0,4,0,0,15
F.Hammond,KC,WR,1,0,0,0,0,0,0,0,0,1,0,0,22
A.Fasano,KC,TE,1,0,0,0,0,0,0,0,0,3,0,1,29
T.Kelce,KC,TE,1,0,0,0,0,0,0,0,0,3,0,0,49
B.Sankey,TEN,RB,1,6,0,25,0,0,0,0,0,0,0,0,0
S.Greene,TEN,RB,1,15,0,71,0,0,0,0,0,0,0,0,0
D.McCluster,TEN,RB,1,9,0,29,0,0,0,0,0,1,0,0,17
J.Hunter,TEN,WR,1,0,0,0,0,0,0,0,0,3,0,0,63
D.Walker,TEN,TE,1,0,0,0,0,0,0,0,0,3,0,1,37
T.Thompson,TEN,TE,1,0,0,0,0,0,0,0,0,2,0,0,24
N.Washington,TEN,WR,1,0,0,0,0,0,0,0,0,4,0,0,59
K.Wright,TEN,WR,1,0,0,0,0,0,0,0,0,6,0,1,46
R.Tannehill,MIA,QB,1,3,0,-2,0,32,0,2,178,0,0,0,0
L.Miller,MIA,RB,1,11,0,59,1,0,0,0,0,4,0,1,19
D.Sims,MIA,TE,1,0,0,0,0,0,0,0,0,1,0,0,9
C.Clay,MIA,RB,1,0,0,0,0,0,0,0,0,2,0,0,27
M.Wallace,MIA,WR,1,0,0,0,1,0,0,0,0,7,0,1,81
B.Hartline,MIA,WR,1,0,0,0,0,0,0,0,0,2,0,0,26
B.Gibson,MIA,WR,1,0,0,0,0,0,0,0,0,1,0,0,9
J.Landry,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
D.Williams,MIA,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
T.Brady,NE,QB,1,1,0,3,2,56,0,1,249,0,0,0,0
S.Vereen,NE,RB,1,7,1,36,0,0,0,0,0,5,0,0,35
S.Ridley,NE,RB,1,8,0,21,0,0,0,0,0,2,0,0,7
B.Bolden,NE,RB,1,2,0,8,0,0,0,0,0,1,0,0,4
J.Edelman,NE,WR,1,2,0,21,0,0,0,0,0,6,0,0,95
